"osm_type","osm_id","name","address","housenumber","street","city","state","postcode","lat","lon","phone","website","county_fips","county_name"
way,78388952,TPC Scottsdale Champions Course,"7020 North Hayden Road","7020",North Hayden Road,Scottsdale,AZ,"85255",33.6359967,-111.8988397,+1-888-400-4001; +1-480-585-4334,https://tpc.com/scottsdale-the-champions-course,"04013",Maricopa
way,79848269,Ironwood & Acacia Courses,"","","","",AZ,"",33.628846,-111.9343413,"","","04013",Maricopa
way,82162105,Paradise Valley Park Golf Course (Phoenix),"3505 East Union Hills Drive","3505",East Union Hills Drive,Phoenix,AZ,"85050",33.6514893,-112.0050032,+1-602-992-7190,https://www.paradisevalleygc.com/,"04013",Maricopa
way,84679163,Gainey Ranch Golf Club,"7600 Gainey Club Drive","7600",Gainey Club Drive,Scottsdale,AZ,"85258",33.570901,-111.9168402,+1-480-951-0022,https://www.gaineyranchcc.com/,"04013",Maricopa
way,96614520,Desert Mountain Outlaw Golf Course,"10550 East Desert Hills Drive","10550",East Desert Hills Drive,Scottsdale,AZ,"85262",33.8628132,-111.8256583,+1-888-883-1323; +1-480-595-4000,https://desertmountain.com/nicklaus-golf/outlaw/,"04013",Maricopa
way,108291873,Tucson Country Club,"2950 North Camino Principal","2950",North Camino Principal,Tucson,AZ,"85715-3113",32.2617368,-110.8553539,+1-520-298-2381,https://www.tucsoncountryclub.com/,"04019",Pima
way,119067740,Palmbrook Country Club,"9350 West Greenway Road","9350",West Greenway Road,Sun City,AZ,"85351",33.6217039,-112.2643757,+1-623-977-8333,https://www.palmbrookgolf.com/,"04013",Maricopa
relation,14067367,Starr Pass Golf Course,"","","","",AZ,"",32.2097612,-111.0432867,"","","04019",Pima
way,119112753,Union Hills Country Club,"9860 Lindgren Avenue","9860",Lindgren Avenue,Sun City,AZ,"85373",33.6519488,-112.2689059,+1-623-977-4281,https://www.unionhillscc.com/,"04013",Maricopa
way,121016115,Coyote Lakes Golf Club,"18800 North Coyote Lakes Parkwway","18800",North Coyote Lakes Parkwway,Surprise,AZ,"85374",33.6543303,-112.3099558,+1-623-566-2323,https://www.coyotelakesgolfclub.com/,"04013",Maricopa
way,121870722,Cave Creek Municipal Golf Course,"15202 North 19th Avenue","15202",North 19th Avenue,Phoenix,AZ,"85023",33.6182679,-112.1049134,+1-602-866-8076,https://phoenix.gov/recreation/rec/facilities/golf/golfcourses/cavecreek/,"04013",Maricopa
way,136669299,Western Skies Golf Club,"1245 East Warner Road","1245",East Warner Road,Gilbert,AZ,"85296",33.3282365,-111.760055,+1-480-545-8542,https://www.westernskiesgolf.com/,"04013",Maricopa
way,136688460,Rolling Hills Golf Course (Tempe),"1415 North Mill Avenue","1415",North Mill Avenue,Tempe,AZ,"",33.4442032,-111.9454886,+1-480-350-5275,http://www.golftempeaz.com/rolling-hills/,"04013",Maricopa
way,152163707,ASU Driving Range,"","","","",AZ,"",33.3054342,-111.6845003,"",https://tours.asu.edu/polytechnic/golf-driving-range-pro-shop,"04013",Maricopa
way,152930041,Aguila Golf Course,"8440 South 35th Avenue","8440",South 35th Avenue,Phoenix,AZ,"85339",33.3678417,-112.1402042,+1-602-237-9601,https://www.phoenix.gov/parks/golf/phoenix-golf-courses/aguila,"04013",Maricopa
way,156824815,Arizona Biltmore Estates Course,"2400 East Missouri Avenue","2400",East Missouri Avenue,Phoenix,AZ,"85016",33.5175432,-112.0214108,+1-602-955-9655,https://azbiltmoregc.com/phoenix-estates-golf-course/,"04013",Maricopa
way,159516471,General William Blanchard Golf Course,"3965 South Craycroft Road","3965",South Craycroft Road,Tucson,AZ,"85707-3529",32.1752102,-110.8677516,+1 520 228 5879,https://dmforcesupport.com/Golf/golf.html,"04019",Pima
way,160226750,Apache Creek Golf Club,"3401 South Ironwood Drive","3401",South Ironwood Drive,Apache Junction,AZ,"85120",33.3825108,-111.5590526,+1 480 982 2677,http://www.apachecreekgolfclub.com,"04021",Pinal
way,165622169,El Rio Golf & Country Club,"1 Paseo El Rio","1",Paseo El Rio,Mohave Valley,AZ,"86440-9140",34.9606591,-114.588721,+1 928 577 0123,http://www.elriocountryclub.com/,"04015",Mohave
way,170824673,Pebblebrook Golf Course,"18836 North 128th Avenue","18836",North 128th Avenue,Sun City West,AZ,"85375",33.6537284,-112.3338308,+1-623-544-6022,http://suncitywestgolf.com/pb.html,"04013",Maricopa
way,170942746,Trail Ridge Golf Course,"21021 North 151st Avenue","21021",North 151st Avenue,Sun City West,AZ,"85375",33.6757626,-112.3804511,+1-623-544-6022,http://suncitywestgolf.com/tr.html,"04013",Maricopa
way,171105188,Arizona Traditions Golf Club,"17225 North Citrus Road","17225",North Citrus Road,Surprise,AZ,"85374",33.6444293,-112.4445932,+1-623-584-4000,https://www.aztraditions.com/,"04013",Maricopa
way,182104348,The Phoenician Resort,"6000 East Camelback Road","6000",East Camelback Road,Scottsdale,AZ,"85251",33.5066631,-111.9512066,+1-480-423-2449,https://golfthephoenician.com/,"04013",Maricopa
way,183940587,Yuma Golf and Country Club,"3150 South Fortuna Avenue","3150",South Fortuna Avenue,Yuma,AZ,"85365",32.6734992,-114.6116284,+1-928-726-4210,https://www.ygcc.org/,"04027",Yuma
way,191987768,Voyager RV Resort and Golf Course,"8701 South Kolb Road","8701",South Kolb Road,Tucson,AZ,"85756-9607",32.0910273,-110.8290449,+1 520 574 5700,https://www.voyagerrv.com/,"04019",Pima
way,198446503,Ahwatukee Lakes Golf Club,"13431 South 44th Street","13431",South 44th Street,Phoenix,AZ,"85044",33.3297923,-111.9883058,"",https://www.ahwatukeelakesgc.com/,"04013",Maricopa
way,199692027,Coronado Golf Course,"2829 North Miller Road","2829",North Miller Road,Scottsdale,AZ,"85257",33.4773068,-111.914457,+1-480-947-8364,https://www.coronadogolfscottsdale.com/,"04013",Maricopa
way,202014266,Chaparral Golf Course,"1260 Mohave Drive","1260",Mohave Drive,Bullhead City,AZ,"86442",35.0823299,-114.6043475,+1-928-758-3939,http://www.chaparralgolf.com/,"04015",Mohave
way,241411737,Desert Hills Golf Course,"1245 West Desert Hills Drive","1245",West Desert Hills Drive,Yuma,AZ,"85365",32.6603801,-114.637285,+1-928-373-5220,https://www.cityofyumagolf.com/,"04027",Yuma
way,243361313,Sun Lakes Golf Course,"25425 North Sun Lakes Boulevard","25425",North Sun Lakes Boulevard,Sun Lakes,AZ,"85248",33.211718,-111.8844044,+1-480-895-9274,https://www.sunlakesofarizona.com/cc_sunlakes.html,"04013",Maricopa
way,243361318,Palo Verde Golf Course,"10801 East San Tan Boulevard","10801",East San Tan Boulevard,Sun Lakes,AZ,"85248-7905",33.211442,-111.8475187,+1-480-895-0300,https://www.cottonwoodpaloverde.com/,"04013",Maricopa
way,243361319,Bear Creek Golf Complex,"500 East Riggs Road","500",East Riggs Road,Chandler,AZ,"85249",33.2259471,-111.8322897,+1-480-883-8200,https://www.bearcreekaz.com/,"04013",Maricopa
way,243364715,Springfield Golf Resort,"1200 East Saint Andrew's Boulevard","1200",East Saint Andrew's Boulevard,Chandler,AZ,"85249",33.2123357,-111.8199617,+1-480-895-5759,http://springfieldgolfchandler.com/,"04013",Maricopa
way,243367882,Encanterra Country Club,"36460 North Encanterra Drive","36460",North Encanterra Drive,San Tan Valley,AZ,"85140",33.2130163,-111.5548007,+1-480-677-8148,http://www.encanterragolf.com/,"04021",Pinal
way,254655923,Mesquite Course,"","","","",AZ,"",33.6250565,-111.9357777,"","","04013",Maricopa
way,254656063,Mesquite Course,"","","","",AZ,"",33.6212913,-111.9366308,"","","04013",Maricopa
way,262279510,Encanto 9 Hole Executive Golf Course,"2300 North 17th Avenue","2300",North 17th Avenue,Phoenix,AZ,"85007",33.4752151,-112.097765,+1-602-262-6870,"","04013",Maricopa
way,262479305,Palms Golf Course,"530 Peppermill Palms Boulevard","530",Peppermill Palms Boulevard,Littlefield,AZ,"86432",36.8149117,-114.0408144,+18664016020;+17023464067,https://www.virginriver.com/Palms-Golf-Club.php,"04015",Mohave
way,262523252,Yuma Golf Desert Hills Par 3 (Arroyo Dunes),"1301 West 32nd Street","1301",West 32nd Street,Yuma,AZ,"85364",32.6675557,-114.6352528,+1-928-726-8350,https://www.cityofyumagolf.com/course/desert-hills-par-3/,"04027",Yuma
way,262825784,We-Ko-Pa Golf Club,"18200 East WeKoPa Way","18200",East WeKoPa Way,Fort McDowell,AZ,"85264",33.5879931,-111.6934101,+1-866-660-7700; +1-480-836-9000,https://wekopa.com/,"04013",Maricopa
way,262943519,Twin Lakes Municipal Golf Course,"1000 South Rex Allen Jr Drive","1000",South Rex Allen Jr Drive,Willcox,AZ,"85643",32.2357437,-109.8281855,+1-520-384-2720,"","04003",Cochise
way,262948500,Tucson Estates Golf Course,"2500 South Western Way Circle","2500",South Western Way Circle,Tucson,AZ,"85713",32.1928812,-111.0862276,+1 520 883 5566,http://www.tucsonestates.com/,"04019",Pima
way,263063105,Quarry Pines Golf Club,North Continential Links Drive,"",North Continential Links Drive,Tucson,AZ,"85743",32.3611803,-111.1012788,+1-866-746-3718; +1-520-744-7443,https://www.playthepines.com/,"04019",Pima
way,263136208,Silverbell Golf Course,"3600 North Silverbell Road","3600",North Silverbell Road,Tucson,AZ,"",32.271245,-111.0218457,+1-520-791-5235,https://www.tucsoncitygolf.com/silverbell-golf-course.html,"04019",Pima
way,44402905,California City Municipal Par 3 Golf Course,"","","","",CA,"",35.1276259,-117.9422924,+1 760 373 7165,"","06029",Kern
way,263141596,Tres Rios Golf Course,"15205 West Vineyard Avenue","15205",West Vineyard Avenue,Goodyear,AZ,"85338",33.3831172,-112.3884546,+1-623-932-3714,https://www.tresriosgolf.com/,"04013",Maricopa
way,263142358,Golf Club of Estrella,"11800 South Golf Club Drive","11800",South Golf Club Drive,Goodyear,AZ,"85338",33.332559,-112.4392357,+1-623-386-2600,https://www.estrellagolf.com/,"04013",Maricopa
way,263148472,Seven Canyons,"755 Golf Club Way","755",Golf Club Way,Sedona,AZ,"86336",34.9157257,-111.8251467,+1-928-203-2000,https://www.sevencanyons.com/golf/,"04025",Yavapai
way,263212246,Turquoise Valley Golf Course,"1794 West Newell Street","1794",West Newell Street,Naco,AZ,"85620",31.3437208,-109.9433907,+1-520-432-3091,http://www.turquoisevalley.com/,"04003",Cochise
way,263221648,Butterfield Golf Course,"10231 Dome Street","10231",Dome Street,Wellton,AZ,"85356",32.6767121,-114.1293895,+1-928-304-0291,https://town.wellton.az.us/butterfield-golf-course/,"04027",Yuma
way,263223599,Desert Hills Golf Club of Green Valley,"2500 South Circulo De Las Lomas","2500",South Circulo De Las Lomas,Green Valley,AZ,"85622",31.8343423,-111.0080916,+1-520-648-1668,https://www.deserthillsgolfclub.org/,"04019",Pima
way,263249375,City of Douglas Municipal Golf Course,"1372 East Fairway Drive","1372",East Fairway Drive,Douglas,AZ,"85607-6261",31.3732719,-109.5393572,+1-520-364-1588,https://www.facebook.com/pages/City-of-Douglas-Golf-Course-and-Lounge/166436273435583,"04003",Cochise
way,263254191,Quail Canyon Golf Course,"5910 North Oracle Road","5910",North Oracle Road,Tucson,AZ,"85704",32.3114755,-110.9763002,+1-520-887-6161,https://quailcanyongolf.com/,"04019",Pima
way,263285381,San Pedro Golf Course,"926 North Madison","926",North Madison,Benson,AZ,"85602",31.9800899,-110.2892611,+1-520-586-7888,https://sanpedrogolf.com/,"04003",Cochise
way,263321891,Crooked Tree Golf Course,"9101 North Thornydale Road","9101",North Thornydale Road,Tucson,AZ,"85742",32.374891,-111.0559722,+1-520-744-3366,http://crookedtreegolfcourse.net/,"04019",Pima
way,263348234,Fred Enke Golf Course,"8251 East Irvington Road","8251",East Irvington Road,Tucson,AZ,"85730",32.1687851,-110.8121612,+1-520-791-2539,https://www.tucsoncitygolf.com/fred-enke-golf-course.html,"04019",Pima
way,263361589,Foothills Par 3 Golf Course,"14000 County 14th Street","14000",County 14th Street,Yuma,AZ,"85367",32.6280929,-114.393139,+1-928-342-9565,https://www.lasbarrancasgolf.com/foothills_par3/,"04027",Yuma
way,263362127,Foothills Golf Course,"14200 County 14th Street","14200",County 14th Street,Yuma,AZ,"85367",32.6308235,-114.3851921,+1-928-342-7130; +1-928-305-6252,https://www.lasbarrancasgolf.com/foothills/,"04027",Yuma
way,263363599,Las Barrancas Golf Course,"14076 East 48th Street","14076",East 48th Street,Yuma,AZ,"85367",32.6466509,-114.3804737,+1-928-342-7130,https://www.lasbarrancasgolf.com/lasBarrancas/,"04027",Yuma
way,263364381,Fortuna Delrey Golf Course,"13650 North Frontage Road","13650",North Frontage Road,Yuma,AZ,"85367-7423",32.6740055,-114.4023248,+1-800-839-0126; +1-928-342-5051,https://cal-am.com/resorts/fortuna-de-oro/,"04027",Yuma
way,263473988,Ironwood Golf Course (Yuma),"2945 West 8th Street","2945",West 8th Street,Yuma,AZ,"85364",32.7109819,-114.6571445,"","","04027",Yuma
way,263484312,Bridgewater Links,"1477 Queens Bay","1477",Queens Bay,Lake Havasu City,AZ,"86403-0965",34.4674287,-114.344299,+1-928-855-4777; +1-800-624-7939,https://www.londonbridgeresort.com/eat-play/golf,"04015",Mohave
way,263485223,Island Golf Course at the Nautical,"1040 McCulloch Boulevard","1040",McCulloch Boulevard,Lake Havasu City,AZ,"86403",34.4559474,-114.3539225,+1-928-855-5585,https://nauticalinn.com/golf/,"04015",Mohave
way,263549162,Queen Valley Golf Course,"600 North Fairway Drive","600",North Fairway Drive,Queen Valley,AZ,"85118",33.3019624,-111.2918367,+1-520-463-2214,http://www.queenvalleygolfcourse.com,"04021",Pinal
way,263615875,Mount Graham Golf Course,"4250 West Golf Course Road","4250",West Golf Course Road,Safford,AZ,"85546",32.8068871,-109.7712289,+1-928-348-3140,http://mtgrahamgolfcourse.com/,"04009",Graham
way,263731956,Falcon Dunes Golf Course (Luke Air Force Base),"15100 West Northern Avenue","15100",West Northern Avenue,Luke AFB,AZ,"85355",33.5551558,-112.3889979,+1-623-535-8355; +1-623-535-9334,https://www.lukeservices.com/golf_course.html,"04013",Maricopa
way,263778118,Francisco Grande Hotel and Golf Resort,"26000 Gila Bend Highway","26000",Gila Bend Highway,Casa Grande,AZ,"85222",32.8849821,-111.8471294,+1-800-237-4238,https://www.franciscograndegolf.com/,"04021",Pinal
way,263780626,San Miguel Golf (ex Grande Valley),"1505 North Toltec Road","1505",North Toltec Road,Eloy,AZ,"85131",32.7665293,-111.6114999,+1-520-350-7777,http://www.sanmiguelgolf.com/,"04021",Pinal
way,263782437,Greenlee Country Club,Highway 75,"",Highway 75,Clifton,AZ,"85540",32.9044732,-109.1905529,+1 928-687-1099,https://www.facebook.com/pages/Greenlee-County-Golf-and-Country-Club/221782901180715,"04011",Greenlee
way,263785952,Beaver Dam Lodge Golf Course (Hamilton Ranch),"452 Old Highway 91 North","452",Old Highway 91 North,Beaver Dam,AZ,"86432",36.8983,-113.9312058,+1-928-347-2222,http://www.historicbeaverdamlodge.com/,"04015",Mohave
way,263788946,Hidden Cove Golf Course,"1500 Golf Course Road","1500",Golf Course Road,Holbrook,AZ,"86025",34.9212514,-110.1965264,+1-928-241-0851; +1-928-524-3097; +1-520-524-3097,"","04017",Navajo
way,263792278,Kearny Golf Club,"301 Airport Road","301",Airport Road,Kearny,AZ,"85137",33.050002,-110.9095777,+1 520 363-7441,"","04021",Pinal
way,263798489,Longbow Golf Club,"5601 East Longbow Parkway","5601",East Longbow Parkway,Mesa,AZ,"85215",33.4700002,-111.710382,+1-480-807-5400,https://www.longbowgolf.com/,"04013",Maricopa
way,263822481,Paradise Peak West Golf Course,"","","","",AZ,"",33.6958892,-111.9985462,+1-480-515-2043,"","04013",Maricopa
way,263828486,Ajo Country Club and Golf Course,"77 Mead Road","77",Mead Road,Ajo,AZ,"85321",32.4500824,-112.8507457,+1-520-387-5011,https://www.ajogolfcourse.com,"04019",Pima
way,263829849,Alpine Golf & Country Club,"58 County Road 2122","58",County Road 2122,Alpine,AZ,"85920-0526",33.8124803,-109.1076255,+1-928-339-4944,https://www.alpinegolfandcountryclub.com/,"04001",Apache
way,263830019,Apache Stronghold Golf Club,"5 U.S. 70","5",U.S. 70,San Carlos,AZ,"85550",33.3659149,-110.6750367,+1-928-475-7800,https://www.apache-gold-casino.com/golf.php,"04007",Gila
way,263866138,Pine Canyon Golf Course,"1201 East J.W. Powell Boulevard","1201",East J.W. Powell Boulevard,Flagstaff,AZ,"86005",35.1592295,-111.6393311,+1-866-652-7329,https://www.pinecanyon.net/golf-course,"04005",Coconino
way,286608873,Big Lake Country Club,"","","","",AR,"",35.8948107,-90.1706115,"","","05093",Mississippi
way,263867722,Coyote Trails Golf Cours (ex Pine Shadows),"1480 Groseta Ranch Road","1480",Groseta Ranch Road,Cottonwood,AZ,"86326",34.7513054,-112.0399605,+1-928-634-1093,http://pineshadowsgolfcourse.com/,"04025",Yavapai
way,263869981,Pinetop Country Club,"6734 Country Club Drive","6734",Country Club Drive,Pinetop,AZ,"85935",34.1098175,-109.8748609,+1-928-369-4375,https://www.pinetopcc.com/,"04017",Navajo
way,263876668,Pinetop Lakes Golf & Country Club,"4643 Buck Springs Road","4643",Buck Springs Road,Pinetop,AZ,"85935",34.1101008,-109.9063424,+1-928-369-4531,https://www.pinetoplakesgolf.com/,"04017",Navajo
way,263885316,Poco Diablo Pitch & Putt,"1752 State Route 179","1752",State Route 179,Sedona,AZ,"86336",34.8447904,-111.7753386,+1-928-282-7333,https://www.pocodiablo.com/,"04005",Coconino
way,263899090,Quailwood Greens Golf Course,"12200 East Highway 69","12200",East Highway 69,Dewey,AZ,"86327",34.5571532,-112.2462532,+1-928-772-0130,"","04025",Yavapai
way,264089101,Red Mountain Ranch Country Club,"6425 East Teton Circle","6425",East Teton Circle,Mesa,AZ,"85215",33.4872874,-111.6926406,+1-480-985-0285; +1-480-981-6501,https://www.rmrcc.com/,"04013",Maricopa
way,264094837,Riverview Resort Golf Course,"2020 Ramar Road","2020",Ramar Road,Bullhead City,AZ,"86442",35.1082624,-114.574522,+1-928-763-9707,http://www.riverviewgolfresort.com,"04015",Mohave
way,264149657,SaddleBrooke One,"64500 East SaddleBrooke Boulevard","64500",East SaddleBrooke Boulevard,Tucson,AZ,"85739",32.5361243,-110.8730238,+1-520-825-3048,http://www.saddlebrooke.org/,"04021",Pinal
way,264152899,San Manuel Golf Club,"26950 North Redington Road","26950",North Redington Road,San Manuel,AZ,"85631",32.6327471,-110.6580549,+1-520-385-2224,"","04021",Pinal
way,264155105,Scottsdale Shadows Executive Golf Course,"7800 East Camelback Road","7800",East Camelback Road,Scottsdale,AZ,"85251",33.5039975,-111.9110335,+1-480-994-0433,http://www.scottsdaleshadowsarizona.com/,"04013",Maricopa
way,264161663,Birdie Ranch Golf Club at Silver Creek,"2051 Silver Lake Boulevard","2051",Silver Lake Boulevard,Show Low,AZ,"85901",34.3650176,-109.9821713,+1 928-537-2744,http://www.silvercreekgolfclub.com/,"04017",Navajo
